group,value
W024,3
W024,0
W024,2
W024,0
W024,1
W024,2
W024,1
W024,3
W025,1
W025,1
W025,0
W025,1
W025,3
W025,1
W025,1
W025,1
W025,2
W025,3
W025,3
W025,1
W025,3
W025,2
W025,2
W025,0
W025,1
W025,4
W025,3
W025,1
W025,1
W025,1
W025,2
W025,3
W025,5
W025,1
W025,0
W025,1
W025,1
W025,3
W026,7
W026,3
W026,1
W026,1
W026,1
W026,0
W026,2
W026,1
W026,1
W026,2
W026,2
W026,1
W026,0
W026,2
W026,0
W026,0
W026,0
W026,0
W026,0
W026,0
W027,3
W027,0
W027,1
W027,1
W027,1
W027,0
W027,1
W027,0
W027,2
W027,5
W027,0
W027,1
W027,1
W027,0
W027,2
W027,3
W027,2
W027,2
W027,3
W027,4
W027,1
W027,6
W027,1
W027,2
W027,1
W027,3
W027,0
W027,1
W027,1
W027,4
W028,2
W028,2
W028,1
W028,0
W028,3
W028,2
W028,0
W028,2
W028,1
W028,2
W029,2
W029,0
W029,2
W029,2
W029,2
W029,4
W029,0
W029,2
W029,1
W029,2
W029,0
W029,0
W029,2
W029,1
W029,1
W029,1
W029,2
W029,1
W029,0
W029,6
W029,2
W029,1
W029,3
W029,2
W029,3
W029,2
W029,1
W029,3
W029,2
W029,6
W030,2
W030,0
W030,1
W030,0
W030,0
W030,1
W030,5
W030,0
W030,0
W030,2
W031,2
W031,4
W031,3
W031,2
W031,2
W031,0
W031,1
W031,3
W031,0
W031,14
W031,6
W031,1
W031,2
W031,2
W031,0
W031,2
W031,4
W031,0
W031,0
W031,2
W031,3
W031,3
W031,5
W031,1
W031,3
W031,0
W031,2
W031,0
W031,4
W031,1
W031,3
W031,1
W031,1
W031,0
W031,3
W031,1
W031,4
W031,1
W031,4
W031,4
W031,1
W031,2
W031,3
W031,2
W031,2
W031,4
W031,1
W031,3
W031,4
W031,5
W032,1
W032,1
W032,0
W032,0
W032,0
W032,0
W032,1
W032,0
W032,0
W032,1
W033,0
W033,2
W033,2
W033,0
W033,1
W033,1
W033,1
W033,0
W033,1
W033,3
W033,5
W033,0
W033,0
W033,1
W033,5
W033,1
W033,0
W033,2
W033,1
W033,2
W033,2
W033,1
W033,1
W033,4
W033,0
W033,0
W033,4
W033,1
W033,4
W033,2
W034,0
W034,0
W034,0
W034,2
W034,0
W034,1
W034,1
W034,1
W034,1
W034,5
W035,2
W035,0
W035,1
W035,0
W035,2
W035,0
W035,0
W035,5
W035,1
W035,3
W035,0
W035,0
W035,1
W035,0
W035,1
W035,0
W035,1
W035,3
W035,0
W035,1
W035,1
W035,0
W035,0
W035,1
W035,2
W035,0
W035,3
W035,1
W035,3
W035,1
W036,9
W036,0
W036,0
W036,0
W036,1
W036,0
W036,1
W036,8
W036,1
W036,1
W036,1
W036,1
W036,1
W036,1
W036,2
W036,1
W036,2
W036,2
W036,0
W036,0
W037,0
W037,1
W037,0
W037,1
W037,1
W037,2
W037,1
W037,1
W037,0
W037,0
W037,0
W037,1
W037,1
W037,0
W037,0
W037,0
W037,2
W037,1
W037,0
W037,0
W037,0
W037,0
W037,0
W037,0
W037,3
W037,0
W037,0
W037,3
W037,3
W037,2
W038,3
W038,0
W038,1
W038,3
W038,1
W038,1
W038,0
W038,1
W038,1
W038,2
W039,0
W039,3
W039,1
W039,0
W039,0
W039,0
W039,1
W039,1
W039,1
W039,1
W039,2
W039,0
W039,0
W039,1
W039,1
W039,1
W039,1
W039,4
W039,2
W039,3
W039,0
W039,1
W039,0
W039,0
W039,2
W039,2
W039,0
W039,2
W039,0
W039,1
W040,0
W040,0
W040,1
W040,1
W040,0
W040,2
W040,0
W040,0
W040,0
W040,8
W041,1
W041,0
W041,0
W041,0
W041,0
W041,1
W041,0
W041,2
W041,1
W041,0
W041,1
W041,0
W041,2
W041,3
W041,0
W041,2
W041,1
W041,2
W041,0
W041,1
W041,3
W041,2
W041,1
W041,1
W041,1
W041,1
W041,1
W041,3
W041,0
W041,0
W041,1
W041,0
W041,1
W041,0
W041,1
W041,0
W041,0
W041,0
W041,1
W041,2
W041,0
W041,1
W041,2
W041,0
W041,0
W041,1
W041,0
W041,1
W041,0
W041,0
W042,0
W042,0
W042,0
W042,0
W042,0
W042,0
W042,0
W042,0
W042,0
W042,0
W043,1
W043,0
W043,0
W043,1
W043,0
W043,1
W043,3
W043,3
W043,1
W043,0
W043,1
W043,0
W043,0
W043,1
W043,0
W043,2
W043,1
W043,0
W043,1
W043,0
W043,1
W043,1
W043,1
W043,0
W043,1
W043,0
W043,0
W043,1
W043,1
W043,1
W044,0
W044,0
W044,3
W044,0
W044,1
W044,1
W044,0
W044,1
W044,1
W044,0
W045,2
W045,0
W045,0
W045,1
W045,0
W045,2
W045,0
W045,1
W045,0
W045,1
W045,0
W045,1
W045,1
W045,0
W045,1
W045,3
W045,2
W045,0
W045,1
W045,0
W045,0
W045,0
W045,3
W045,1
W045,1
W045,1
W045,2
W045,1
W045,1
W045,1
W046,2
W046,0
W046,1
W046,3
W046,1
W046,1
W046,1
W046,1
W046,1
W046,0
W046,1
W046,2
W046,0
W046,1
W046,0
W046,1
W046,0
W046,0
W046,0
W046,1
W047,1
W047,0
W047,0
