group,value
W047,1
W047,0
W047,1
W047,2
W047,1
W047,1
W047,0
W047,0
W047,0
W047,0
W047,2
W047,1
W047,0
W047,0
W047,0
W047,0
W047,0
W047,1
W047,0
W047,1
W047,2
W047,5
W047,0
W047,1
W047,3
W047,0
W047,4
W048,2
W048,0
W048,1
W048,1
W048,1
W048,0
W048,0
W048,0
W048,0
W048,3
W049,0
W049,0
W049,0
W049,0
W049,2
W049,0
W049,0
W049,0
W049,0
W049,0
W049,0
W049,0
W049,0
W049,1
W049,0
W049,0
W049,0
W049,0
W049,0
W049,0
W049,0
W049,0
W049,1
W049,1
W049,0
W049,0
W049,0
W049,1
W049,0
W049,0
W050,0
W050,0
W050,1
W050,0
W050,0
W050,0
W050,0
W050,2
W050,0
W050,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,1
W051,0
W051,0
W051,0
W051,0
W051,1
W051,0
W051,3
W051,0
W051,0
W051,0
W051,0
W051,2
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,4
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,1
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
W051,0
