Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20240419_Operator 4_gentle_G2_R3_4.TIF,79,2.66,0.034,2.523,255,2.005,0.166,0.395
20240419_Operator 4_gentle_G2_R3_5.TIF,52,1.864,0.036,1.769,255,2.083,0.164,0.39
20240419_Operator 4_gentle_G2_R3_6.TIF,28,1.161,0.041,1.102,255,2.47,0.133,0.344
20240419_Operator 5_firm_G1_R1_1.TIF,100,8.18,0.082,7.76,255,3.905,0.148,0.379
20240419_Operator 5_firm_G1_R1_2.TIF,106,8.111,0.077,7.695,255,3.063,0.172,0.421
20240419_Operator 5_firm_G1_R1_3.TIF,85,4.418,0.052,4.191,255,2.69,0.17,0.421
20240419_Operator 5_firm_G1_R1_4.TIF,96,5.9,0.061,5.597,255,2.981,0.172,0.434
20240419_Operator 5_firm_G1_R1_5.TIF,76,3.597,0.047,3.412,255,2.459,0.17,0.421
20240419_Operator 5_firm_G1_R1_6.TIF,95,4.184,0.044,3.969,255,2.432,0.149,0.395
20240419_Operator 5_firm_G1_R2_1.TIF,76,8.01,0.105,7.599,255,4.105,0.17,0.434
20240419_Operator 5_firm_G1_R2_2.TIF,122,7.271,0.06,6.898,255,2.792,0.175,0.425
20240419_Operator 5_firm_G1_R2_3.TIF,99,5.876,0.059,5.575,255,2.969,0.164,0.415
20240419_Operator 5_firm_G1_R2_4.TIF,100,5.375,0.054,5.1,255,2.853,0.161,0.399
20240419_Operator 5_firm_G1_R2_5.TIF,78,4.955,0.064,4.701,255,2.91,0.166,0.423
20240419_Operator 5_firm_G1_R2_6.TIF,93,4.362,0.047,4.138,255,2.438,0.179,0.427
20240419_Operator 5_firm_G1_R3_1.TIF,141,6.878,0.049,6.525,255,2.488,0.166,0.43
20240419_Operator 5_firm_G1_R3_2.TIF,109,6.764,0.062,6.417,255,2.813,0.161,0.411
20240419_Operator 5_firm_G1_R3_3.TIF,119,8.754,0.074,8.305,255,3.673,0.141,0.379
20240419_Operator 5_firm_G1_R3_4.TIF,91,15.235,0.167,14.454,255,5.916,0.163,0.423
