Operator,Pressure,Garment,Repeat,Sample,Area,Area.px,Area.mm2
Operator 5,firm,G1,R3,3,8.754,795818.181818182,65.7700976709241
Operator 5,firm,G1,R3,4,15.235,1385000,114.462809917355
Operator 5,firm,G1,R3,5,5.867,533363.636363636,44.0796393688956
Operator 5,firm,G1,R3,6,6.028,548000,45.2892561983471
Operator 5,firm,G2,R1,1,6.819,619909.090909091,51.2321562734786
Operator 5,firm,G2,R1,2,3.923,356636.363636364,29.4740796393689
Operator 5,firm,G2,R1,3,5.235,475909.090909091,39.3313298271976
Operator 5,firm,G2,R1,4,5.295,481363.636363636,39.7821187077385
Operator 5,firm,G2,R1,5,9.165,833181.818181818,68.8580015026296
Operator 5,firm,G2,R1,6,5.383,489363.636363636,40.4432757325319
Operator 5,firm,G2,R2,1,6.561,596454.545454545,49.2937640871525
Operator 5,firm,G2,R2,2,5.895,535909.090909091,44.290007513148
Operator 5,firm,G2,R2,3,5.426,493272.727272727,40.7663410969196
Operator 5,firm,G2,R2,4,5.565,505909.090909091,41.8106686701728
Operator 5,firm,G2,R2,5,4.586,416909.090909091,34.4552967693464
Operator 5,firm,G2,R2,6,5.855,532272.727272727,43.9894815927874
Operator 5,firm,G2,R3,1,7.63,693636.363636364,57.3253193087904
Operator 5,firm,G2,R3,2,6.236,566909.090909091,46.8519909842224
Operator 5,firm,G2,R3,3,3.932,357454.545454545,29.54169797145
Operator 5,firm,G2,R3,4,3.989,362636.363636364,29.9699474079639
Operator 5,firm,G2,R3,5,4.014,364909.090909091,30.1577761081893
Operator 5,firm,G2,R3,6,6.389,580818.181818182,48.0015026296018
Operator 5,gentle,G1,R1,1,0.983,89363.6363636364,7.38542449286251
Operator 5,gentle,G1,R1,2,0.807,73363.6363636364,6.06311044327573
Operator 5,gentle,G1,R1,3,0.954,86727.2727272727,7.16754320060105
Operator 5,gentle,G1,R1,4,1.101,100090.909090909,8.27197595792637
Operator 5,gentle,G1,R1,5,0.604,54909.0909090909,4.53794139744553
Operator 5,gentle,G1,R1,6,0.755,68636.3636363636,5.67242674680691
Operator 5,gentle,G1,R2,1,1.219,110818.181818182,9.15852742299023
Operator 5,gentle,G1,R2,2,0.849,77181.8181818182,6.37866265965439
Operator 5,gentle,G1,R2,3,0.334,30363.6363636364,2.50939143501127
Operator 5,gentle,G1,R2,4,0.592,53818.1818181818,4.44778362133734
Operator 5,gentle,G1,R2,5,0.526,47818.1818181818,3.9519158527423
Operator 5,gentle,G1,R2,6,0.877,79727.2727272727,6.58903080390684
Operator 5,gentle,G1,R3,1,0.76,69090.9090909091,5.70999248685199
Operator 5,gentle,G1,R3,2,1.258,114363.636363636,9.45154019534185
Operator 5,gentle,G1,R3,3,1.785,162272.727272727,13.4109691960932
Operator 5,gentle,G1,R3,4,1.712,155636.363636364,12.862509391435
Operator 5,gentle,G1,R3,5,1.013,92090.9090909091,7.61081893313298
Operator 5,gentle,G1,R3,6,1.495,135909.090909091,11.2321562734786
Operator 5,gentle,G2,R1,1,1.959,178090.909090909,14.7182569496619
Operator 5,gentle,G2,R1,2,0.763,69363.6363636364,5.73253193087904
Operator 5,gentle,G2,R1,3,0.349,31727.2727272727,2.62208865514651
Operator 5,gentle,G2,R1,4,0.305,27727.2727272727,2.29151014274981
Operator 5,gentle,G2,R1,5,0.7,63636.3636363636,5.25920360631104
Operator 5,gentle,G2,R1,6,1.028,93454.5454545455,7.72351615326822
Operator 5,gentle,G2,R2,1,1.708,155272.727272727,12.8324567993989
Operator 5,gentle,G2,R2,2,1.613,146636.363636364,12.1187077385425
Operator 5,gentle,G2,R2,3,1.457,132454.545454545,10.946656649136
Operator 5,gentle,G2,R2,4,0.779,70818.1818181818,5.85274229902329
Operator 5,gentle,G2,R2,5,0.86,78181.8181818182,6.46130728775357
Operator 5,gentle,G2,R2,6,1.06,96363.6363636364,7.96393688955672
Operator 5,gentle,G2,R3,1,1.435,130454.545454545,10.7813673929376
Operator 5,gentle,G2,R3,2,1.026,93272.7272727273,7.70848985725019
Operator 5,gentle,G2,R3,3,1.559,141727.272727273,11.7129977460556
Operator 5,gentle,G2,R3,4,0.997,90636.3636363636,7.49060856498873
Operator 5,gentle,G2,R3,5,0.923,83909.0909090909,6.93463561232156
Operator 5,gentle,G2,R3,6,0.73,66363.6363636364,5.48459804658152
Operator 2,firm,G2,R1,1,2.387,217000,17.9338842975207
Operator 2,firm,G2,R1,2,1.759,159909.090909091,13.2156273478588
Operator 2,firm,G2,R1,3,0.361,32818.1818181818,2.7122464312547
Operator 2,firm,G2,R1,4,1.724,156727.272727273,12.9526671675432
Operator 2,firm,G2,R1,5,2.009,182636.363636364,15.0939143501127
Operator 2,firm,G2,R1,6,1.626,147818.181818182,12.2163786626597
Operator 2,firm,G2,R2,1,2.146,195090.909090909,16.1232156273479
Operator 2,firm,G2,R2,2,0.964,87636.3636363636,7.24267468069121
Operator 2,firm,G2,R2,3,1.635,148636.363636364,12.2839969947408
Operator 2,firm,G2,R2,4,1.311,119181.818181818,9.84973703981968
Operator 2,firm,G2,R2,5,1.102,100181.818181818,8.27948910593539
Operator 2,firm,G2,R2,6,2.545,231363.636363636,19.1209616829452
Operator 2,firm,G2,R3,1,2.234,203090.909090909,16.7843726521412
Operator 2,firm,G2,R3,2,1.964,178545.454545455,14.755822689707
Operator 2,firm,G2,R3,3,1.982,180181.818181818,14.8910593538693
Operator 2,firm,G2,R3,4,2.89,262727.272727273,21.7129977460556
Operator 2,firm,G2,R3,5,3.398,308909.090909091,25.5296769346356
Operator 2,firm,G2,R3,6,3.952,359272.727272727,29.6919609316304
